common_name,scientific_name,start_time,end_time,confidence,label,location,stake,date,year,month,day,filename
Barred Owl,Strix varia,450,453,0.056611855,Strix varia_Barred Owl,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Barred Owl,Strix varia,471,474,0.051301986,Strix varia_Barred Owl,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Barred Owl,Strix varia,480,483,0.073134899,Strix varia_Barred Owl,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Barred Owl,Strix varia,672,675,0.06883987,Strix varia_Barred Owl,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Barred Owl,Strix varia,762,765,0.052040759,Strix varia_Barred Owl,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Barred Owl,Strix varia,786,789,0.069235615,Strix varia_Barred Owl,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Barred Owl,Strix varia,825,828,0.080323629,Strix varia_Barred Owl,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Barred Owl,Strix varia,846,849,0.080426164,Strix varia_Barred Owl,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Barred Owl,Strix varia,906,909,0.054674163,Strix varia_Barred Owl,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Barred Owl,Strix varia,1005,1008,0.066138066,Strix varia_Barred Owl,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Barred Owl,Strix varia,1092,1095,0.055747725,Strix varia_Barred Owl,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Barred Owl,Strix varia,1164,1167,0.07951355,Strix varia_Barred Owl,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Barred Owl,Strix varia,1290,1293,0.105347782,Strix varia_Barred Owl,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Barred Owl,Strix varia,1293,1296,0.061110836,Strix varia_Barred Owl,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Barred Owl,Strix varia,1311,1314,0.06508442,Strix varia_Barred Owl,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Barred Owl,Strix varia,1347,1350,0.055165872,Strix varia_Barred Owl,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Barred Owl,Strix varia,1371,1374,0.060590863,Strix varia_Barred Owl,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Barred Owl,Strix varia,1497,1500,0.065015733,Strix varia_Barred Owl,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Barred Owl,Strix varia,1614,1617,0.076836459,Strix varia_Barred Owl,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Tufted Titmouse,Baeolophus bicolor,1689,1692,0.100658529,Baeolophus bicolor_Tufted Titmouse,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Tufted Titmouse,Baeolophus bicolor,1692,1695,0.695057034,Baeolophus bicolor_Tufted Titmouse,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Tufted Titmouse,Baeolophus bicolor,1701,1704,0.294338644,Baeolophus bicolor_Tufted Titmouse,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
Barred Owl,Strix varia,1701,1704,0.056497686,Strix varia_Barred Owl,BigOakWoods,K9,5/1/2025,2025,5,1,BigOakWoods_K9_20250501_detections.csv
