"","Bird.Call","julian_day","min_bin","n"
"1","Eastern Wood-Pewee",151,1,0
"2","Acadian Flycatcher",151,1,0
"3","Yellow-throated Vireo",151,1,2
"4","Tufted Titmouse",151,1,0
"5","Summer Tanager",151,1,0
"6","Scarlet Tanager",151,1,0
"7","Eastern Wood-Pewee",152,1,0
"8","Acadian Flycatcher",152,1,0
"9","Yellow-throated Vireo",152,1,0
"10","Tufted Titmouse",152,1,0
"11","Summer Tanager",152,1,0
"12","Scarlet Tanager",152,1,0
"13","Eastern Wood-Pewee",153,1,0
"14","Acadian Flycatcher",153,1,0
"15","Yellow-throated Vireo",153,1,1
"16","Tufted Titmouse",153,1,0
"17","Summer Tanager",153,1,0
"18","Scarlet Tanager",153,1,0
"19","Eastern Wood-Pewee",154,1,0
"20","Acadian Flycatcher",154,1,2
"21","Yellow-throated Vireo",154,1,2
"22","Tufted Titmouse",154,1,23
"23","Summer Tanager",154,1,3
"24","Scarlet Tanager",154,1,0
"25","Eastern Wood-Pewee",155,1,0
"26","Acadian Flycatcher",155,1,9
"27","Yellow-throated Vireo",155,1,0
"28","Tufted Titmouse",155,1,0
"29","Summer Tanager",155,1,2
"30","Scarlet Tanager",155,1,25
"31","Eastern Wood-Pewee",156,1,0
"32","Acadian Flycatcher",156,1,37
"33","Yellow-throated Vireo",156,1,3
"34","Tufted Titmouse",156,1,0
"35","Summer Tanager",156,1,0
"36","Scarlet Tanager",156,1,0
"37","Eastern Wood-Pewee",157,1,0
"38","Acadian Flycatcher",157,1,65
"39","Yellow-throated Vireo",157,1,1
"40","Tufted Titmouse",157,1,0
"41","Summer Tanager",157,1,3
"42","Scarlet Tanager",157,1,0
"43","Eastern Wood-Pewee",158,1,0
"44","Acadian Flycatcher",158,1,9
"45","Yellow-throated Vireo",158,1,0
"46","Tufted Titmouse",158,1,0
"47","Summer Tanager",158,1,13
"48","Scarlet Tanager",158,1,0
"49","Eastern Wood-Pewee",159,1,0
"50","Acadian Flycatcher",159,1,1
"51","Yellow-throated Vireo",159,1,0
"52","Tufted Titmouse",159,1,0
"53","Summer Tanager",159,1,31
"54","Scarlet Tanager",159,1,0
"55","Eastern Wood-Pewee",160,1,0
"56","Acadian Flycatcher",160,1,2
"57","Yellow-throated Vireo",160,1,1
"58","Tufted Titmouse",160,1,0
"59","Summer Tanager",160,1,64
"60","Scarlet Tanager",160,1,1
"61","Eastern Wood-Pewee",161,1,0
"62","Acadian Flycatcher",161,1,0
"63","Yellow-throated Vireo",161,1,1
"64","Tufted Titmouse",161,1,0
"65","Summer Tanager",161,1,43
"66","Scarlet Tanager",161,1,10
"67","Eastern Wood-Pewee",162,1,0
"68","Acadian Flycatcher",162,1,0
"69","Yellow-throated Vireo",162,1,0
"70","Tufted Titmouse",162,1,0
"71","Summer Tanager",162,1,84
"72","Scarlet Tanager",162,1,4
"73","Eastern Wood-Pewee",163,1,0
"74","Acadian Flycatcher",163,1,5
"75","Yellow-throated Vireo",163,1,0
"76","Tufted Titmouse",163,1,0
"77","Summer Tanager",163,1,10
"78","Scarlet Tanager",163,1,0
"79","Eastern Wood-Pewee",164,1,0
